21111_1R2__1 *2L*2_FF F^_LFRFF
2L21*1^2FF22 _2^^L^L2 FRF_^FL*
2L21*1^2^F*2 _2^^L^L2 FRF_^FL*
2L21*1^22F*2 _2^^L^L2 FRF_^FL*
2L2211^2F^*2 _^^FL^L2 FRF_^FL*
2L2211^2F^*2 _^^FL^L2 FRF_^FL*
2L2211^2F^*2 _^^FL^L2 FRF_^FL*
*L2211^2F^*2 _^^FL^L2 FRF_^FL*
2L2211^2F^*2 _^^FL^L2 FRF_^FL*
2L2211^2F^*2 _^^FL^L2 FRF_^FL*
2L2211^2F^*2 _^^FL^L2 FRF_^FL*
2L2211^2F^*2 _^^FL^L2 FRF_^FL*
2L2211^2F^*2 _^^FL^L2 FRF_^FL*
2L2211^F2^*2 F^*^L^L2 FRF_^FL*
2L2211^2F^*2 _^^FL^L2 FRF_^FL*
2_L*1^R1L1^_ *^L22^^^ ^^*FFFR*
2*L*1_11^^L1 *^L_2*2^ ^^FFFR*_
2_*^*1_12L^1 L^L_2F*2 ^^F_F*FR
1*L*1F212L12 *2LF2L2^ FR^FF^L*
1*L*1221^R1_ *2LF2L2^ FR^FF^L*
1*L*1^2R^L1_ *2LF2L2^ FR^FF^L*
1*L*1*21^L1_ *2LF2L2^ FR^FF^L*
1*L*_121^L*_ *2LF2L2^ FR^FF^L*
1*L*1_21^L1_ *2LF2L2^ FR^FF^L*
1*L*1^21^L1_ F2LF2L2^ FR^FF^L*
1*L*_121_11_ *2LF2L2^ FR^FF^L*
1*L*2121^L1_ *2LF2L2^ FR^FF^L*
1*L*1_21^L1_ *2LF2L2^ FR^FF^L*
1*L*1F21^L1^ *2LF2L2^ FR^FF^L*
1*L*_121^L1* *2LF2L2^ FR^FF^L*
1*L*1^21^L1_ *2LF2L2^ FR^FF^L*
1*L*1_21^L1_ *2LF2L2^ FR^FF^L*
1*L**121^L1_ *2LF2L2^ FR^FF^L*
1*L*2121^L1_ *2LF2L2^ FR^FF^L*
1*L*2121^L1_ *2LF2L2^ FR^FF^L*
1*L*1*21^L1_ *2LF2L2^ FR^FF^L*
1*L*1221^L1_ *2LF2L2^ FR^FF^L*
1*L*F121^L1_ *2LF2L2^ FR^FF^L*
1*L*1^21^L1_ *2LF2L2^ FR^FF^L*
1FL*1^21^L1_ *2LF2L2^ FR^FF^L*
1*L*F121^L1* *2LF2L2^ FR^FF^L*
1*L*F121^*1_ *2LF2L2^ FR^FF^L*
1*L*1^21^L1_ *2LF2L2^ FR^FF^L*
1*L*1*21FL1L *2LF2L2^ FR^FF^L*
1*L*1*21^L1_ *2LF2L2^ FR^FF^L*
1*L**121^L1_ *2LF2L2^ FR^FF^L*
1*L*1^21^L1_ *2LF2L2^ FR^FF^L*
1*L*1221^L1_ *2LF2L2^ FR^FF^L*
1*L**121^^1_ *2LF2L2^ FR^FF^L*
1*L**121^LL_ *2LF2L2^ FR^FF^L*
1*L*_1211L1_ *2LF2L2^ FR^FF^L*
1*L*2121^L1_ *2LF2L2^ FR^FF^L*
1*L**121^L1_ *2LF2L2^ FR^FF^L*
1*L**121^L1_ *2LF2L2^ FR^FF^L*
1*L*1^21^L1_ *2LF2L2^ FR^FF^L*
1*L*1^21^L1_ *2LF2L2^ FR^FF^L*
1*L*^121^L1_ *2LF2L2^ FR^FF^L*
1*L*_121^L1_ *2LF2L2^ FR^FF^L*
1*L*2121^L1_ *2LF2L2^ FR^FF^L*
1*L*^121^LF_ *2LF2L2^ FR^FF^L*
1*L*1221^L1_ *2LF2L2^ FR^FF^L*
1*L**121^L1_ *2LF2L2^ FR^FF^L*
1*L*F121^L1_ *2L^2L2^ FR^FF^L*
1*L*1221^L1_ *2LF2L2^ FR^FF^L*
1*L*^121^L1_ *2LF2L2^ FR^FF^L*
1*L*^121^L1_ *2LF2L2^ FR^FF^L*
1*L*^121^L1R _2LF2L2^ FR^FF^L*
1*L*1F21^L1_ *2LF2L2^ FR^FF^L*
1*L*1^21^L1_ *2LF2L2^ FR^FF^L*
1*L*1221^L1_ *2LF2L2^ FR^FF^L*
1*L*1221RL1_ *2LF2L2^ FR^FF^L*
1*L^112_^L1_ 22LF2L2^ FR^*F^L*
1*L*1F21^L1_ *2LF2L2^ FR^FF^L*
1*L*^121^L1_ *2LF2L2^ FR^FF^L*
1*L*^121^L1_ *2LF2L2^ FR^FF^L*
1*L*F121^L1_ *2LF2L2^ FR^FF^L*
1*L*^121^L1_ *2LF2L2^ FR^FF^L*
1*L*1_21^L1_ *2LF2L2^ FR^FF^L*
1*L*1F21^L1_ *2LF2L2^ FR^FF^L*
1*L**121^1*_ *2LF2L2^ FR^FF^L*
1*L*^121^L1_ *2LF2L2^ FR^FF^L*
1*L*1*21^L1_ *2LF2L2^ FR^FF^L*
1*L*_121^L1_ *2LF2L2^ FR^FF^L*
1*L*1_21*L1_ *2LF2L2^ FR^FF^L*
1*L*^121^L1L *2LF2L2^ FR^FF^L*
1*L*^121^L1_ *2LF2L2^ FR^FF^L*
1*L*1121^L1_ 22LF2L2^ FR^F_^L*
